language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:00853c55544ff7fe4f96d28d4ecd850b,"Formica clara Forel, 1886",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:014918b80fb792fac60dc4170ec5e07d,"Myrmica ruginodis Nylander, 1846",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:0aaff6820c2a6716a993a4da7242b7aa,"Temnothorax affinis (Mayr, 1855)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:0b0c40b4abdd6903755d8a79e43cb858,"Stenamma debile (Förster, 1850)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:0b2887204e24813048726a98a0282aed,"Manica rubida (Latreille, 1802)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:0d7d6fd91f619552285eb56d4d191260,Plagiolepis pyrenaica Emery 1921,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:0dbc05f5d94a2e738238300990ce2211,"Myrmica rubra (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:116fc35685c3bd11b23a68a14041e0d3,"Myrmica rugulosa Nylander, 1849",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:127f27b83959a4e0b9b42422aec5e049,"Hypoponera eduardi (Forel, 1894)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:168799e6d3730233c734e71d8b1c5151,"Formica fusca Linnaeus, 1758",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:172be019b220e0edb45638245f88ea48,"Anergates atratulus (Schenck, 1852)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anergates,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:17c2cbb37ea8f36503ee1be2130a6a70,"Temnothorax interruptus (Schenck, 1852)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:18daedc71cea2ad67599d6368512be04,"Strongylognathus testaceus (Schenck, 1852)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:19c03a61dd4a7ace9303b12d684faf53,"Leptothorax gredleri Mayr, 1855",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,RBINS,https://www.inbo.be/en/norms-data-use,,RBINS,Checklist of the ants in Belgium,belgian-formicidae-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,"Camponotus vagus (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,species,ICZN
