taxonID,description,type,language
belgian-formicidae-checklist:taxon:6ace4f4bb6441dcd4d979df6325d1892,cosmopolitan,native range,en
belgian-formicidae-checklist:taxon:6b35290c57876762e83df95f30352fa3,Palearctic,native range,en
belgian-formicidae-checklist:taxon:727c00b8e299ed34d52239b3b92bf805,Palearctic,native range,en
belgian-formicidae-checklist:taxon:72ff93034eb459a97dd58a4284598b6c,Palearctic,native range,en
belgian-formicidae-checklist:taxon:73e29320b497b7abe292dbd767fbf50f,Southern Europe,native range,en
belgian-formicidae-checklist:taxon:73ea2c71df8bc15f9173f693e5197a82,Europe,native range,en
belgian-formicidae-checklist:taxon:73ea2c71df8bc15f9173f693e5197a82,Northern Africa,native range,en
belgian-formicidae-checklist:taxon:785e2f0229c16b3b131a3e058d4fe5a1,Palearctic,native range,en
belgian-formicidae-checklist:taxon:7c71f4bd5a550f552ca4ccecd033c75d,Palearctic,native range,en
belgian-formicidae-checklist:taxon:82243753baf777aef94e1e2b32bdc278,Palearctic,native range,en
belgian-formicidae-checklist:taxon:86b93f257457bfbb98e33ef03ed2ac0c,Palearctic,native range,en
belgian-formicidae-checklist:taxon:91ee6ec970ae60ec93cf6fe6ce65b594,Central America,native range,en
belgian-formicidae-checklist:taxon:91ee6ec970ae60ec93cf6fe6ce65b594,South America,native range,en
belgian-formicidae-checklist:taxon:93854deb27d5ebc09e04446886458f1f,Palearctic,native range,en
belgian-formicidae-checklist:taxon:9cd8f165f667cadd8fd4545f8be9c68b,Palearctic,native range,en
belgian-formicidae-checklist:taxon:9d0764c2c90289f8cbbaa6ca5ac71504,Palearctic,native range,en
belgian-formicidae-checklist:taxon:9e1a3b722ba4eb74ea83b9da748a62ab,Palearctic,native range,en
belgian-formicidae-checklist:taxon:a1196d05362401dd27670b844d180ce6,Palearctic,native range,en
belgian-formicidae-checklist:taxon:a20a129a6da1e15e4fe601c9a50dc928,Palearctic,native range,en
belgian-formicidae-checklist:taxon:a323967821fdf4dec9b7ed8d9715210b,Palearctic,native range,en
belgian-formicidae-checklist:taxon:a50880ad8d5d562bdfbb87599ea04be5,Palearctic,native range,en
belgian-formicidae-checklist:taxon:a9d190cfb814726676ffd6bc52d8effe,Palearctic,native range,en
belgian-formicidae-checklist:taxon:ae1542f068b969f61a9d29a02c694c95,Eastern Europe,native range,en
belgian-formicidae-checklist:taxon:b034ac16510d6f6cd3ce0be8a07a810a,Palearctic,native range,en
belgian-formicidae-checklist:taxon:b0698c5ec203578ef8914bf116ef5418,Palearctic,native range,en
belgian-formicidae-checklist:taxon:b1dc326d2ca46f89ddf3f841a1c4a108,Neotropic,native range,en
belgian-formicidae-checklist:taxon:b59f36d97f774dd4b9fc18ebc40ac79d,Palearctic,native range,en
belgian-formicidae-checklist:taxon:b9da4e31015f1c1606ea866e56697b7f,Palearctic,native range,en
belgian-formicidae-checklist:taxon:b9e9ca1d8235b6b860173304ba34ffbd,Palearctic,native range,en
belgian-formicidae-checklist:taxon:ba54c9e02aa7375a79d8c29d41f60857,Palearctic,native range,en
belgian-formicidae-checklist:taxon:bc239f5d82b5b115dee926b116ed1dad,Neotropic,native range,en
belgian-formicidae-checklist:taxon:be9aff4bed71eda660ce70d34dd71706,Palearctic,native range,en
belgian-formicidae-checklist:taxon:c356f924f3224daf06db73deb2c17c43,Palearctic,native range,en
belgian-formicidae-checklist:taxon:c64ca1e6a2e2f6518f42088455bf18bc,Palearctic,native range,en
belgian-formicidae-checklist:taxon:c6e10211be650b9c74ca32bd9930d357,Palearctic,native range,en
belgian-formicidae-checklist:taxon:c808a688b829ad45549f10ba25566e79,Southern Europe,native range,en
belgian-formicidae-checklist:taxon:c808a688b829ad45549f10ba25566e79,Eastern Europe,native range,en
belgian-formicidae-checklist:taxon:d0eab93aa281c27f696762c1d4cf748e,Palearctic,native range,en
belgian-formicidae-checklist:taxon:d620e1aaa3fbe996ae7b43fc1ca55519,Palearctic,native range,en
belgian-formicidae-checklist:taxon:ddbb5ce35177e1553bb60654894bb7e2,Palearctic,native range,en
belgian-formicidae-checklist:taxon:de95033bfeb65c7c317712308d84d479,Palearctic,native range,en
belgian-formicidae-checklist:taxon:dedd214fbf3dd266b0e95bb333182813,Palearctic,native range,en
belgian-formicidae-checklist:taxon:df8dfa1992165b458884b9dce3330daf,Palearctic,native range,en
belgian-formicidae-checklist:taxon:e05ab634ff279f40c68efb49a827234a,Central America,native range,en
belgian-formicidae-checklist:taxon:ebb0d24754105a1e70c0e5dcdd4bfb65,Palearctic,native range,en
belgian-formicidae-checklist:taxon:ebf2c57b0319ced5bd44208bd306866f,Palearctic,native range,en
belgian-formicidae-checklist:taxon:f3a0c5f856c771f90a05d57306195acf,Palearctic,native range,en
belgian-formicidae-checklist:taxon:fd373fcdb559cd7b0c5c6099a703533f,Northern Africa,native range,en
