taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
belgian-formicidae-checklist:taxon:00853c55544ff7fe4f96d28d4ecd850b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,native,native,,1987/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:00853c55544ff7fe4f96d28d4ecd850b,ISO_3166-2:BE-WAL,Walloon Region,BE,present,native,native,,1920/2011,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:00853c55544ff7fe4f96d28d4ecd850b,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,native,native,,2009/2009,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:014918b80fb792fac60dc4170ec5e07d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,native,native,,1866/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:014918b80fb792fac60dc4170ec5e07d,ISO_3166-2:BE-WAL,Walloon Region,BE,present,native,native,,1896/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:014918b80fb792fac60dc4170ec5e07d,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,native,native,,1908/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:06b77f14573712f858ebe8b821715c59,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,transported,,2023/2023,"Noordijk J, 2023. Wijdverspreide vestiging in Nederland en eerste melding voor België  van de gewone dikkop Pheidole pallidula (Hymenoptera: Formicidae). Forum Formicidarum 24(1).","Pheidole pallidula; minors/majors/mannen; 15 februari 2023; Wortegem-Petegem; in huis van importeur mediterrane planten, kolonies lijken aanwezig achter plinten, in de woning worden in de winter dwergdadelpalmen opgeslagen; leg. anoniem; det. J. Noordijk; zie ook artikel Noordijk 2023 Wijdverspreide vestiging in Nederland en eerste melding voor België van de gewone dikkop Pheidole pallidula (Hymenoptera: Formicidae). Forum Formicidarum 24(1)."
belgian-formicidae-checklist:taxon:0aaff6820c2a6716a993a4da7242b7aa,ISO_3166-2:BE-VLG,Flemish Region,BE,present,native,native,,1997/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:0aaff6820c2a6716a993a4da7242b7aa,ISO_3166-2:BE-WAL,Walloon Region,BE,present,native,native,,2004/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:0b0c40b4abdd6903755d8a79e43cb858,ISO_3166-2:BE-VLG,Flemish Region,BE,present,native,native,,1920/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:0b0c40b4abdd6903755d8a79e43cb858,ISO_3166-2:BE-WAL,Walloon Region,BE,present,native,native,,1905/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:0b0c40b4abdd6903755d8a79e43cb858,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,native,native,,1920/2023,FORMIDABEL Databank,
belgian-formicidae-checklist:taxon:0b2887204e24813048726a98a0282aed,ISO_3166-2:BE-WAL,Walloon Region,BE,absent,native,native,,1918/1918,FORMIDABEL Databank,
